source,target,rating
1267,546,10
1207,882,10
882,1207,10
1396,60,8
1384,635,10
1185,801,10
935,7,10
88,101,9
801,1185,8
465,882,8
540,1,10
35,1437,10
1396,1201,9
1201,1396,9
88,1501,10
775,1437,9
660,1545,10
1556,465,8
775,1354,8
775,1217,9
1572,1600,10
1354,775,8
41,1386,8
10,41,8
1629,25,10
1631,1290,10
178,1,8
41,1,8
899,1643,9
1541,25,10
1648,1566,10
1568,1663,10
1630,545,10
775,1669,10
1217,1669,10
1217,1437,9
1657,1566,10
1437,1669,10
1689,1,10
1690,1,10
1690,25,10
1662,1701,10
540,7,10
1700,1708,8
1708,1700,8
39,415,8
415,39,8
540,1386,10
1759,1591,10
1763,1744,10
1771,25,10
1779,1787,8
1787,1779,10
1585,25,10
465,1556,8
425,1,10
1386,1,8
1201,1386,9
104,23,10
1839,1840,8
1656,1185,8
1185,1656,8
1201,25,10
1487,25,10
415,1492,8
1492,415,8
1318,1877,10
1566,1201,8
1566,1386,10
425,1566,8
1201,1566,8
1860,1,10
882,178,10
1386,1566,8
1201,1,10
1,1201,8
1566,1769,8
1201,1363,8
1201,537,8
1386,135,8
1701,1860,8
1860,1701,8
1771,1860,9
1984,1,10
1995,1840,10
1685,1839,10
1896,1771,10
1771,1896,10
1620,1386,10
1656,1,9
2026,1957,10
1528,25,10
2040,1690,9
2014,1855,10
340,1690,8
823,1,10
823,2078,10
1615,2080,10
2080,1615,10
2080,2082,10
2080,25,10
2082,2080,10
425,1201,10
425,309,10
2087,35,10
1383,425,9
1383,1201,9
1383,1386,9
1383,1,9
1383,1316,9
1383,7,9
1478,2040,8
1899,1473,8
1473,1899,8
1204,2028,10
1846,1386,10
1386,1846,8
2028,2214,10
215,1566,8
304,25,10
2240,2080,10
1204,2125,10
1620,722,10
1529,905,8
2200,1620,10
1620,2200,10
905,1386,10
425,1386,9
1566,215,9
425,1317,9
1386,425,9
1878,25,10
988,2305,10
2305,988,10
2303,25,10
988,2313,8
1896,2076,10
2076,1896,10
1829,25,10
2241,1121,10
1121,2241,10
1204,1899,10
1899,1204,8
1,4,10
4,1,10
1585,1,9
2125,2349,8
2311,1201,10
1316,1366,8
1316,425,8
425,1316,8
1366,1,10
2230,2118,8
732,2176,8
2067,1731,10
1731,2067,10
2305,2377,10
2377,2305,10
2377,2313,10
2311,2167,10
2174,25,10
1201,1316,8
1316,1201,8
1948,1615,10
2118,2230,8
2427,2118,8
1615,1948,8
2344,25,10
2125,2438,8
1383,1566,10
2451,1396,10
2132,1624,8
1201,4,8
4,1201,8
2507,1185,10
2347,2313,10
823,2070,8
2070,823,8
304,905,10
2523,25,10
2516,2543,9
241,249,10
1719,2158,8
2540,2548,8
2342,2370,10
2370,2342,10
2472,2067,10
1689,25,10
2,1363,8
2,167,8
2,39,8
2,223,8
2,245,8
2549,2567,10
2567,2566,8
2566,2568,9
2567,2568,9
2568,2567,9
2569,2568,9
304,2198,10
304,1899,10
1899,304,10
2592,2574,10
2603,2585,8
2603,2601,10
2616,35,10
241,1,8
2585,2622,9
2585,2623,8
2622,2623,9
2637,2635,9
1774,1752,8
132,1,10
2659,2658,10
2670,2669,10
2657,2670,8
2670,2657,8
2670,2671,9
2670,2672,9
2670,2633,9
2657,2672,9
2675,2633,9
2678,2671,10
2678,2672,9
2672,2067,9
2672,2631,10
2672,2629,10
2672,2632,10
2672,2628,10
2632,2628,10
2632,2629,10
2632,2631,10
2632,1543,10
2631,2634,10
2631,2574,10
2631,2666,10
2631,2570,10
2631,2571,10
2628,1810,10
2628,1543,10
2628,2574,10
2628,2571,10
2628,2548,10
2665,1948,8
2680,1543,10
2680,2682,10
2680,1810,10
2680,2176,10
2682,2176,10
2682,1543,10
2682,1810,10
2682,2680,10
2682,1201,10
2680,905,10
1543,2683,10
2680,2683,10
2682,2683,10
2680,2485,8
1543,2682,9
1543,2680,10
2683,1543,10
1543,2684,10
2680,2684,10
2684,905,10
2683,2685,10
2685,2683,10
1396,1316,8
1396,1386,8
2128,2118,10
905,57,10
2070,1948,8
2674,2672,10
2699,2674,10
2574,2700,10
2711,1,10
2720,2574,10
2720,2721,10
2720,2700,10
2726,35,10
2738,2676,10
2758,242,10
242,2758,9
2176,1,10
2686,2771,9
2771,2686,9
1948,2070,8
2788,2647,10
2786,35,10
2409,2028,10
2823,2782,10
2828,2647,10
2693,2427,10
2214,2028,10
2884,1675,10
2866,2688,10
2884,2028,10
905,1953,10
1629,1383,10
2812,2028,10
2940,25,10
2942,25,10
2918,1953,10
2859,2953,10
13,25,10
2688,2028,10
3003,2733,10
3010,1953,10
2028,2725,9
2647,2485,10
2788,2642,10
2725,2028,10
1555,2246,10
2992,3027,8
2725,2733,9
1396,1566,8
2485,2647,10
304,1953,8
1953,304,8
1217,23,10
6,1363,8
6,1,8
1386,1201,10
2647,2635,10
2388,25,9
3045,25,10
3092,2896,10
224,2125,9
1675,1810,10
2817,1217,8
2647,3125,10
3086,3129,10
2725,2835,9
2642,3598,8
1743,3157,8
1743,448,10
1743,143,8
448,1743,10
2905,3018,10
1743,2013,8
2013,1743,8
2725,1731,9
2763,3198,10
3203,1271,10
1840,1185,8
2635,2647,10
3218,3018,10
3084,2647,9
3125,2647,10
1363,2,8
1363,245,8
3190,25,10
3223,3246,10
3198,2763,10
2635,3260,10
3246,3223,10
3197,3239,10
3197,2642,10
2821,2028,10
3276,2642,10
2118,3281,8
3281,2118,8
3236,3119,10
3086,3260,10
2296,1403,10
2296,2388,10
2296,1363,10
2028,3293,10
2733,3293,10
3308,3219,8
2647,1953,10
2942,1810,10
363,1366,10
3287,3333,10
3345,1656,10
1318,1656,10
2825,2635,8
2825,3086,8
2825,3018,8
2825,2419,8
3264,3366,9
1217,3377,10
2028,1334,9
2118,3377,8
3395,2642,8
2484,3367,10
2028,2125,8
3363,3086,8
1953,2635,8
1953,3260,8
2966,1953,8
3377,1217,10
3377,2118,10
2028,3416,8
3198,1018,10
540,2028,10
2763,1018,9
3598,2642,10
2784,2118,10
2127,2763,10
3456,2437,10
1550,1217,9
2127,1352,10
3483,3484,10
3484,3483,10
3489,2838,10
3500,3208,10
1018,230,10
3525,3018,10
2028,1018,8
2642,1018,8
1815,135,10
3553,3552,10
3554,3552,10
3498,3555,10
3498,3552,8
3556,3552,8
3558,3552,8
2063,2028,8
3511,2642,10
3562,3552,8
3563,3562,10
3563,3552,10
3556,3563,10
3556,3564,10
3564,3552,8
3556,3565,10
3565,3552,8
3556,3566,8
3566,3552,8
3565,3567,8
3567,3552,10
3565,3569,8
3569,3552,10
3570,3552,8
3366,1,10
2158,135,10
3591,2642,10
1810,2942,8
2961,25,10
3615,35,10
3615,2897,10
3545,160,10
2173,2028,8
3665,896,10
3678,3451,10
3695,3669,9
1565,1318,10
2625,3223,8
6,856,8
6,2188,9
3723,3689,10
3646,2125,8
3732,3731,10
2962,3744,10
2644,1764,10
3744,2962,10
3744,23,10
2144,1764,8
3366,1948,10
3744,1670,10
3744,1743,10
3744,29,10
3744,1967,10
3744,2125,10
3744,535,10
3744,2173,10
3744,493,10
3744,2438,10
3744,3736,10
3744,3394,10
3744,2017,10
3744,3756,10
3757,2017,10
3757,3756,10
3756,3744,10
3756,2017,10
3756,3757,10
3756,2962,10
3757,2962,10
3744,3757,10
3744,3759,10
3759,2962,10
3759,3744,10
3759,3756,10
3759,3757,10
3759,2017,10
3744,3760,10
3760,2962,10
3760,2017,10
3760,3756,10
3760,3757,10
3760,3759,10
3760,3744,10
3366,2296,10
2019,1810,10
2262,3734,8
3744,2934,10
3756,2934,10
3757,2934,10
3759,2934,10
3760,2934,10
3785,1810,10
3785,1802,10
2470,1217,8
1743,3219,8
3223,2625,10
3547,3699,10
3800,2484,10
2770,3377,8
1386,3859,8
1933,2903,10
3776,3018,10
3861,2903,10
3861,1933,10
2903,3861,10
2903,1933,10
3511,3820,10
1967,3876,9
3500,3878,10
3500,3888,10
3888,3500,10
3896,2262,8
3928,3735,10
3973,3669,10
3881,3735,10
2495,3974,10
3974,2495,10
585,3975,10
3987,3598,10
361,3996,10
3996,361,10
3660,3996,8
3571,3748,9
3917,4007,10
3397,1363,10
3972,2079,10
3500,3781,10
3828,2642,10
4029,2642,10
4030,3168,10
3500,4035,10
3500,3655,10
4015,3990,10
4047,3735,10
4047,2642,10
4052,3735,10
4054,3735,10
4059,3735,8
3414,3738,10
3211,4080,8
113,25,10
3547,3445,10
2897,3488,10
3488,2897,10
4112,3018,10
4121,3735,10
2388,1363,9
4136,3724,10
4136,4036,10
1201,4144,9
4144,1201,9
4141,2647,9
4150,2188,10
4164,2284,8
4168,3735,10
905,1316,10
3642,1810,10
2296,1810,10
2625,3219,10
3219,2625,10
2763,2127,10
2897,2110,10
3539,4075,10
4163,1689,10
1316,1396,8
2344,2266,10
4205,3982,10
4181,4198,10
4198,4181,10
3056,2642,10
4212,3735,10
4219,3735,10
2512,13,10
4038,3642,10
4226,3642,10
1719,905,8
1719,2198,10
4237,4217,10
1201,4238,8
4240,3642,8
4245,3813,9
4098,3898,10
4163,3545,9
4163,395,10
2167,4257,10
1217,39,8
3527,4261,10
4261,3527,10
4257,2167,10
3982,4205,10
905,304,10
4098,3723,10
3723,4098,10
2942,2125,10
3214,2165,10
3018,2635,10
4136,3735,10
3816,2404,8
4238,2167,10
4163,2142,10
4163,230,10
1018,3219,9
3887,2642,8
3214,3219,9
3219,3214,8
3397,1098,10
4238,4348,8
3489,35,10
3490,4354,10
4238,4356,8
4354,3490,10
3699,4235,9
4172,2125,8
4367,2777,10
4369,1947,8
905,1529,10
2063,2642,8
4354,4393,10
4395,4396,8
4396,4395,10
280,3815,8
3490,4393,10
3815,280,10
1810,1765,8
2167,4172,10
4107,2635,10
342,25,10
4322,3129,10
4421,2296,10
3161,135,10
4353,546,10
4304,135,10
3445,2127,8
3704,2942,10
4499,4400,10
2296,4119,8
2388,3025,10
2942,4515,10
2642,4172,8
3744,3408,10
4531,4522,10
4531,4197,10
4531,3837,10
3018,2647,10
2647,3018,10
4549,3642,10
363,1018,8
3487,2661,10
1403,4546,10
4217,3976,10
3756,1318,10
1334,2822,10
4590,3719,9
4590,3744,9
4590,2498,10
4590,1771,10
4594,3642,10
3237,4197,10
4515,2942,10
4631,2942,8
363,4639,10
4639,363,10
4609,3837,10
4531,4654,10
4664,4646,10
4664,4662,10
4664,4663,10
4654,4661,10
4531,4661,10
4531,4666,10
4546,481,10
4591,481,10
4654,4667,10
3642,481,10
4654,4668,10
4668,4669,10
4107,2045,10
4107,4172,10
4172,4107,10
4579,4604,8
4291,3649,8
4668,4707,10
4661,4707,10
3465,1810,10
2313,2377,10
2313,2347,10
2313,988,10
4681,4733,10
4680,4733,10
4661,4733,10
4729,4569,10
4729,1334,10
4458,4735,10
4659,1334,10
4458,4635,10
4573,25,10
4291,4172,8
3504,35,10
4521,4482,10
4107,3527,10
3527,4107,8
3649,4291,8
905,4172,10
4308,3129,10
4791,3957,10
2165,25,10
4698,4635,9
4806,4611,10
1334,4659,10
4400,4172,10
500,4823,10
500,4824,10
4824,500,10
4824,4823,10
4824,1191,10
4524,2642,8
4694,1334,10
4499,4635,10
4301,4855,10
4615,3404,8
3837,25,10
1555,4172,10
4172,1555,8
905,3719,10
2647,4172,10
2313,2305,10
2305,2313,10
4900,4899,8
3875,4197,9
4918,1018,10
353,4172,9
4415,4559,9
4828,4559,10
3161,1018,8
1334,3719,8
4281,4172,10
4266,2635,10
4172,2642,8
1201,57,8
3389,2642,9
2642,3389,9
1334,1832,9
4291,2498,10
905,3897,10
3746,25,10
2642,3630,8
5015,4988,10
3630,2642,10
4,5014,8
5014,4,8
2388,35,9
3725,4918,10
4612,35,10
4918,3725,10
547,5030,10
5030,547,10
5029,5032,10
5032,5029,8
5027,5028,10
1394,5029,10
4592,25,10
5036,5013,10
3278,1810,9
4172,4291,8
5096,5086,10
1334,361,10
4611,4833,9
5046,5132,10
5132,5046,10
5129,5080,10
3278,57,9
5025,25,10
3429,3649,10
3598,57,10
4291,5162,10
3504,3837,10
3504,5163,10
5163,3504,10
5193,5200,10
5200,5201,10
5201,5202,10
5202,5203,10
5193,5204,10
5212,4172,10
5234,3452,10
5235,5237,10
5237,5239,10
5239,5237,10
5239,5240,10
4304,4172,10
2934,4172,8
3837,3897,10
4833,4694,8
4320,4884,8
3714,5284,10
5284,3714,10
988,2377,10
3099,5297,8
3719,5299,10
3219,1018,9
1719,1656,10
4833,4611,9
5221,1185,10
4365,192,10
3572,1690,10
5399,3707,10
1953,5404,10
3897,905,10
5420,5415,8
5422,215,8
1396,1,8
5212,3630,10
3630,5212,10
4753,5438,10
5438,4753,10
4812,5384,10
5441,5384,10
5442,4291,8
5353,4172,10
1,1615,9
1615,1,9
4205,5458,10
5458,4205,10
5458,3982,10
1437,35,10
3897,4291,10
4291,3897,10
4320,5259,9
5259,4320,9
3982,5458,10
5413,5464,9
5403,4611,8
5489,5476,10
5404,1953,10
1810,3897,8
2870,5522,10
5522,2870,10
5480,3828,10
4899,5472,10
5472,4899,10
5549,5521,10
4899,5473,10
4519,5551,10
3897,3630,9
5560,3897,10
5492,5568,10
5568,5492,10
1731,1334,8
5524,1,10
5524,1953,10
1018,57,8
57,1018,8
4499,4649,8
5615,4925,8
5590,5618,10
5618,5590,10
5590,5619,10
5618,5619,10
5619,5590,10
5619,5618,10
5614,256,8
4515,5622,10
3470,5623,8
5609,4649,9
5598,4291,10
4649,4499,8
3470,5602,8
5636,1,10
5655,4197,10
3470,5661,8
2165,1752,10
5433,35,8
5717,35,10
5655,5720,10
4921,1,10
5719,5729,10
5730,5729,10
5731,5729,10
5732,5729,10
5309,4649,10
2942,1018,10
5227,5712,10
5759,5761,10
5761,5759,10
3470,5762,8
5762,3470,8
5762,5623,8
5763,5788,8
5788,5763,8
1967,5790,9
5791,5612,10
5649,5798,8
5798,5649,8
3707,5506,10
5806,5606,8
5806,5602,8
3470,5806,8
4921,5824,10
3829,5826,10
5655,1953,9
1953,4172,8
5648,3986,8
3649,3429,8
3903,1352,10
5862,5859,10
215,5422,8
4553,4291,8
5507,5896,10
5896,5507,10
5899,5439,10
5890,35,8
5411,4649,10
2,5929,8
4649,5411,10
1819,1810,9
3345,4649,8
5955,5958,10
5958,5955,10
4163,2067,10
3903,1810,10
5963,2045,10
2073,5971,10
5971,5960,10
1565,57,8
3804,2388,10
4004,5845,10
5956,5227,8
5999,3878,8
2045,33,9
33,2045,9
3714,481,10
